Date,Product_Category,Region,Revenue,Units_Sold,Cost_of_Goods,Marketing_Spend,Customer_Acquisition
2024-01-01,Electronics,North America,245000,1250,147000,18500,89
2024-01-01,Clothing,North America,128000,1890,51200,12000,156
2024-01-01,Home & Garden,North America,89000,680,44500,8900,67
2024-01-01,Electronics,Europe,198000,980,118800,15800,72
2024-01-01,Clothing,Europe,145000,2100,58000,13500,178
2024-02-01,Electronics,North America,267000,1340,160200,19500,95
2024-02-01,Clothing,North America,142000,2050,56800,13200,165
2024-02-01,Home & Garden,North America,95000,720,47500,9200,71
2024-02-01,Electronics,Europe,215000,1050,129000,17200,78
2024-02-01,Clothing,Europe,158000,2280,63200,14800,189
2024-03-01,Electronics,North America,289000,1450,173400,21000,102
2024-03-01,Clothing,North America,156000,2240,62400,14500,176
2024-03-01,Home & Garden,North America,102000,780,51000,9800,76
2024-03-01,Electronics,Europe,234000,1140,140400,18500,84
2024-03-01,Clothing,Europe,172000,2480,68800,16200,201
2024-04-01,Electronics,North America,312000,1560,187200,22800,109
2024-04-01,Clothing,North America,168000,2410,67200,15600,188
2024-04-01,Home & Garden,North America,108000,820,54000,10400,82
2024-04-01,Electronics,Europe,256000,1240,153600,20100,92
2024-04-01,Clothing,Europe,187000,2690,74800,17600,214
2024-05-01,Electronics,North America,335000,1670,201000,24500,117
2024-05-01,Clothing,North America,182000,2610,72800,16800,201
2024-05-01,Home & Garden,North America,115000,870,57500,11000,87
2024-05-01,Electronics,Europe,278000,1350,166800,21800,99
2024-05-01,Clothing,Europe,203000,2920,81200,19200,233
2024-06-01,Electronics,North America,358000,1780,214800,26200,125
2024-06-01,Clothing,North America,198000,2840,79200,18200,215
2024-06-01,Home & Garden,North America,123000,930,61500,11800,93
2024-06-01,Electronics,Europe,301000,1460,180600,23600,107
2024-06-01,Clothing,Europe,221000,3180,88400,20900,253
2024-07-01,Electronics,North America,382000,1900,229200,28000,134
2024-07-01,Clothing,North America,215000,3090,86000,19800,231
2024-07-01,Home & Garden,North America,132000,1000,66000,12600,100
2024-07-01,Electronics,Europe,325000,1580,195000,25500,116
2024-07-01,Clothing,Europe,239000,3440,95600,22600,273
2024-08-01,Electronics,North America,405000,2010,243000,29800,142
2024-08-01,Clothing,North America,232000,3330,92800,21400,247
2024-08-01,Home & Garden,North America,141000,1070,70500,13400,106
2024-08-01,Electronics,Europe,348000,1690,208800,27400,124
2024-08-01,Clothing,Europe,258000,3710,103200,24400,295
2024-09-01,Electronics,North America,428000,2120,256800,31500,150
2024-09-01,Clothing,North America,248000,3560,99200,23000,263
2024-09-01,Home & Garden,North America,149000,1130,74500,14100,112
2024-09-01,Electronics,Europe,372000,1810,223200,29400,133
2024-09-01,Clothing,Europe,277000,3980,110800,26200,316
2024-10-01,Electronics,North America,451000,2230,270600,33200,158
2024-10-01,Clothing,North America,265000,3800,106000,24600,280
2024-10-01,Home & Garden,North America,158000,1200,79000,14900,119
2024-10-01,Electronics,Europe,396000,1920,237600,31400,142
2024-10-01,Clothing,Europe,296000,4260,118400,28100,338
2024-11-01,Electronics,North America,475000,2350,285000,35000,166
2024-11-01,Clothing,North America,283000,4060,113200,26300,299
2024-11-01,Home & Garden,North America,167000,1270,83500,15700,126
2024-11-01,Electronics,Europe,421000,2040,252600,33500,151
2024-11-01,Clothing,Europe,316000,4540,126400,30000,360
